Subject,1_0 B,1_1 B,1_2 B,2_0 B,2_1 B,2_2 B
1,1.0,1.0,1.7222222222222223,1.2777777777777777,1.2794117647058822,2.059259259259259
2,1.0444444444444443,1.362962962962963,1.3148148148148149,1.4333333333333331,1.6527777777777777,2.074074074074074
3,1.1555555555555557,1.259259259259259,1.3055555555555556,1.8444444444444446,1.935185185185185,2.0444444444444443
4,1.6111111111111112,1.637037037037037,1.8935185185185186,2.1222222222222222,2.1064814814814805,2.162962962962963
5,1.0666666666666669,1.148148148148148,1.7222222222222223,1.9222222222222223,2.0555555555555562,2.577777777777778
6,1.1333333333333333,1.2666666666666666,1.615740740740741,1.9666666666666666,1.5833333333333333,2.2592592592592595
7,1.011111111111111,1.3037037037037038,1.5648148148148147,1.7555555555555555,1.814814814814815,2.1037037037037036
8,1.0333333333333334,1.0740740740740742,1.5601851851851853,1.6222222222222222,1.8009259259259254,1.9407407407407407
9,1.1333333333333333,1.2148148148148148,1.490740740740741,1.7,1.8379629629629624,2.1703703703703705
10,1.2444444444444445,1.237037037037037,1.5925925925925926,1.6888888888888889,1.8564814814814818,2.0444444444444443
11,1.0999999999999999,1.2962962962962965,1.7592592592592593,1.9222222222222223,1.6666666666666667,2.185185185185185
