Subject,0_-15,0_-30,0_-45,0_-60,0_0,0_15,0_30,0_45,0_60,1_-15,1_-30,1_-45,1_-60,1_0,1_15,1_30,1_45,1_60,2_-15,2_-30,2_-45,2_-60,2_0,2_15,2_30,2_45,2_60
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4583333333333333,1.5833333333333333,1.9166666666666665,1.9583333333333335,1.4166666666666665,1.5833333333333333,1.7083333333333335,1.9166666666666665,1.9583333333333335
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.2,1.0,1.6,1.4666666666666668,1.4666666666666668,1.0,2.0,1.0,1.7333333333333334,1.0,1.2916666666666667,1.25,1.4166666666666667,1.2916666666666665,1.0416666666666667,1.1666666666666667,1.1666666666666667,1.25,1.9583333333333335
3,1.0,1.0,1.0,1.7,1.0,1.1,1.2,1.0,1.4,1.8666666666666667,1.6,1.0,1.0,1.0,1.0,1.0,1.7333333333333334,1.1333333333333333,1.0833333333333333,1.1666666666666665,1.3333333333333335,1.875,1.1666666666666667,1.0416666666666667,1.0416666666666667,1.2916666666666667,1.75
4,2.0,1.6,1.3,1.6,1.0,1.7,1.8,1.8,1.7,1.6666666666666667,1.6,1.4666666666666668,1.6,1.1333333333333333,2.0,1.8,1.7333333333333334,1.7333333333333334,1.9166666666666665,2.0,1.9166666666666665,1.9166666666666665,1.5,1.9166666666666665,1.9583333333333335,1.9583333333333335,1.9583333333333335
5,1.0,1.0,1.1,1.3,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.4666666666666668,1.0,1.1333333333333333,1.2,1.1333333333333333,1.4,1.0,1.4583333333333335,1.5833333333333335,1.9166666666666665,1.9583333333333335,1.4166666666666667,1.5833333333333333,1.7083333333333335,1.9166666666666667,1.9583333333333335
6,1.0,1.0,1.6,1.0,1.0,1.1,1.3,1.2,1.0,1.1333333333333333,1.0,1.0,1.4,1.0,2.0,1.1333333333333333,1.4,1.3333333333333335,1.4166666666666667,1.5833333333333335,1.9583333333333335,1.9166666666666665,1.375,1.2916666666666667,1.5833333333333335,1.5,1.9166666666666667
7,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,1.2,1.4666666666666668,1.0,1.0,1.4666666666666668,1.4666666666666668,1.7333333333333334,1.2083333333333333,1.2916666666666665,1.4166666666666667,1.9583333333333335,1.2916666666666665,1.375,1.875,1.9166666666666665,1.75
8,1.0,1.0,1.0,1.0,1.0,1.0,1.3,1.0,1.0,1.0,1.0,1.0,1.3333333333333335,1.0,1.0,1.0,1.0,1.3333333333333335,1.4166666666666667,1.4166666666666667,1.5416666666666665,1.75,1.2916666666666665,1.3333333333333335,1.5833333333333335,1.7916666666666665,1.9166666666666667
9,1.0,1.0,1.6,1.0,1.0,1.0,1.0,1.6,1.0,1.2,1.6,1.0,1.0,1.0,1.0,1.0,1.4,1.7333333333333334,1.2916666666666667,1.4166666666666667,1.5,1.4166666666666667,1.1666666666666667,1.1666666666666667,1.5833333333333333,1.875,2.0
10,1.2,1.6,1.6,1.0,1.4,1.0,1.2,1.2,1.0,1.0,1.0,1.6,1.8,1.0,1.0,1.0,1.7333333333333334,1.0,1.5833333333333335,1.4166666666666667,1.9166666666666665,2.0,1.0416666666666667,1.2083333333333333,1.9166666666666665,1.25,2.0
11,1.0,1.0,1.1,1.0,1.0,1.0,1.2,1.6,1.0,1.4,1.4,1.0,1.6,1.0,1.0,1.8,1.1333333333333333,1.3333333333333335,1.5833333333333335,1.5,1.9166666666666667,2.0,1.625,1.3333333333333335,1.9166666666666665,1.9583333333333335,2.0
