Subject,-15_40,-15_70,-30_40,-30_70,-45_40,-45_70,-60_40,-60_70,0_40,0_70,15_40,15_70,30_40,30_70,45_40,45_70,60_40,60_70
1,1.5,1.4166666666666665,1.5833333333333333,1.5833333333333333,2.0,1.8333333333333333,1.9166666666666667,2.0,1.4166666666666665,1.4166666666666665,1.5833333333333333,1.5833333333333333,1.6666666666666667,1.75,2.0,1.8333333333333333,2.0,1.9166666666666667
2,1.25,1.3333333333333335,1.25,1.25,1.3333333333333335,1.5,1.4166666666666665,1.1666666666666665,1.0833333333333335,1.0,1.25,1.0833333333333335,1.25,1.0833333333333335,1.25,1.25,2.0,1.9166666666666667
3,1.0,1.1666666666666665,1.1666666666666665,1.1666666666666665,1.3333333333333335,1.3333333333333335,1.8333333333333333,1.9166666666666667,1.0,1.3333333333333335,1.0,1.0833333333333335,1.0833333333333335,1.0,1.3333333333333335,1.25,1.6666666666666667,1.8333333333333333
4,2.0,1.8333333333333333,2.0,2.0,1.8333333333333333,2.0,2.0,1.8333333333333333,1.4166666666666665,1.5833333333333333,1.8333333333333333,2.0,2.0,1.9166666666666667,1.9166666666666667,2.0,1.9166666666666667,2.0
5,1.3333333333333335,1.5833333333333333,1.5,1.6666666666666667,1.8333333333333333,2.0,2.0,1.9166666666666667,1.5,1.3333333333333335,1.5833333333333333,1.5833333333333333,1.75,1.6666666666666667,1.9166666666666667,1.9166666666666667,2.0,1.9166666666666667
6,1.3333333333333335,1.5,1.6666666666666667,1.5,1.9166666666666667,2.0,2.0,1.8333333333333333,1.4166666666666665,1.3333333333333335,1.3333333333333335,1.25,1.6666666666666667,1.5,1.5,1.5,1.9166666666666667,1.9166666666666667
7,1.25,1.1666666666666665,1.1666666666666665,1.4166666666666665,1.3333333333333335,1.5,1.9166666666666667,2.0,1.4166666666666665,1.1666666666666665,1.3333333333333335,1.4166666666666665,1.9166666666666667,1.8333333333333333,2.0,1.8333333333333333,1.75,1.75
8,1.3333333333333335,1.5,1.3333333333333335,1.5,1.6666666666666667,1.4166666666666665,1.75,1.75,1.4166666666666665,1.1666666666666665,1.3333333333333335,1.3333333333333335,1.5,1.6666666666666667,1.8333333333333333,1.75,1.9166666666666667,1.9166666666666667
9,1.25,1.3333333333333335,1.3333333333333335,1.5,1.5,1.5,1.3333333333333335,1.5,1.25,1.0833333333333335,1.3333333333333335,1.0,1.5833333333333333,1.5833333333333333,1.9166666666666667,1.8333333333333333,2.0,2.0
10,1.6666666666666667,1.5,1.5,1.3333333333333335,1.8333333333333333,2.0,2.0,2.0,1.0,1.0833333333333335,1.1666666666666665,1.25,1.8333333333333333,2.0,1.1666666666666665,1.3333333333333335,2.0,2.0
11,1.5,1.6666666666666667,1.5,1.5,1.9166666666666667,1.9166666666666667,2.0,2.0,1.5833333333333333,1.6666666666666667,1.3333333333333335,1.3333333333333335,2.0,1.8333333333333333,1.9166666666666667,2.0,2.0,2.0
