Subject,T1B1_con,T1B1_incon,T1B1_both,T1B2_con,T1B2_incon,T1B2_both,T1B3_con,T1B3_incon,T1B3_both,T1B4_con,T1B4_incon,T1B4_both
1,1.0,1.0,1.0,1.7291666666666667,1.8333333333333333,1.6666666666666665,2.083333333333333,2.0,1.8333333333333333,2.0,2.3333333333333335,2.0
2,1.25,1.1666666666666667,1.5,1.4583333333333333,1.5,1.5833333333333335,1.8333333333333335,1.5,2.0,1.75,1.6666666666666667,2.0
3,0.9166666666666667,1.0,1.0,1.125,1.0833333333333333,1.0416666666666665,1.25,1.3333333333333333,1.1666666666666667,1.0833333333333335,1.0,1.1666666666666667
4,1.0833333333333335,1.0,1.0,1.4166666666666667,1.5,1.4583333333333333,1.9166666666666665,2.0,1.8333333333333333,2.0,2.1666666666666665,2.0
5,1.0,1.0,1.0,1.125,1.3333333333333333,1.1666666666666667,1.25,1.5,1.5,1.1666666666666667,1.1666666666666667,2.1666666666666665
6,1.0,1.0,1.0,1.1666666666666667,1.2916666666666665,1.375,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.75,1.3333333333333333,1.3333333333333333
7,1.0,1.3333333333333333,1.0,1.0416666666666665,1.0,1.0,1.1666666666666665,1.0,1.0,1.0833333333333335,1.3333333333333333,1.0
8,1.0833333333333335,1.0,0.8333333333333334,1.3333333333333335,1.25,1.25,1.5,1.3333333333333333,1.8333333333333333,1.5833333333333333,1.8333333333333333,1.5
9,1.0,1.0,1.0,1.1875,1.0833333333333335,1.0833333333333335,1.0833333333333335,1.3333333333333333,1.5,1.5,1.6666666666666667,1.3333333333333333
10,1.0,1.1666666666666667,1.1666666666666667,1.7083333333333333,1.5833333333333333,1.75,2.0,1.8333333333333333,1.8333333333333333,2.0,2.0,2.3333333333333335
